BAC Bank of America Corporatio | Financial Services | sc 92.3 STRONG BUY | px 62.92 entry 62.92 stop 57.88 tgt 75.5 rr 2.5 | 52w 43.96 62.92 ma50 57.65 ma200 53.28 | vcp VCP ✓ (5 contractions, tightest 2.5%) | rs RS -3% from high | vol 0.7 | sq NONE 0.0 | ins No recent insider activity | an 1.54 | earn 2026-10-14 71 | mc 439.9 | TV BUY 14/10/2
JPM JP Morgan Chase & Co. | Financial Services | sc 92.9 STRONG BUY | px 357.62 entry 357.62 stop 329.01 tgt 429.14 rr 2.5 | 52w 280.14 357.62 ma50 328.99 ma200 309.85 | vcp VCP ✓ (6 contractions, tightest 3.5%) | rs RS -4% from high | vol 0.66 | sq NONE 1.1 | ins No recent insider activity | an 2.09 | earn 2026-10-13 70 | mc 950.6 | TV BUY 14/10/2
PNC PNC Financial Services Gro | Financial Services | sc 92.4 STRONG BUY | px 254.18 entry 254.18 stop 233.84 tgt 305.01 rr 2.5 | 52w 174.27 254.18 ma50 239.27 ma200 214.18 | vcp VCP ✓ (3 contractions, tightest 2.9%) | rs RS -5% from high | vol 0.43 | sq NONE 1.7 | ins No recent insider activity | an 1.82 | earn 2026-10-15 72 | mc 101.4 | TV STRONG_BUY 16/9/1
AMP Ameriprise Financial, Inc. | Financial Services | sc 92.5 STRONG BUY | px 553.22 entry 553.22 stop 508.96 tgt 663.86 rr 2.5 | 52w 427.5 553.22 ma50 486.09 ma200 473.52 | vcp VCP ✓ (3 contractions, tightest 2.5%) | rs RS -11% from high | vol 0.6 | sq LOW 5.0 | ins No recent insider activity | an 2.5 | earn 2026-10-29 86 | mc 48.9 | TV BUY 15/9/2
AVGO Broadcom Inc. | Technology | sc 92.3 STRONG BUY | px 418.16 entry 418.16 stop 384.71 tgt 501.79 rr 2.5 | 52w 287.49 480.81 ma50 394.62 ma200 365.49 | vcp VCP ✓ (6 contractions, tightest 6.7%) | rs RS -15% from high | vol 1.37 | sq NONE 1.5 | ins No recent insider activity | an 1.31 | earn 2026-09-03 30 | mc 1989.4 | TV STRONG_BUY 17/9/0
DELL Dell Technologies Inc. | Technology | sc 90.0 STRONG BUY | px 467.35 entry 467.35 stop 429.96 tgt 560.82 rr 2.5 | 52w 110.54 467.35 ma50 406.48 ma200 216.53 | vcp No clear VCP | rs RS New High 🔥 | vol 1.01 | sq NONE 4.3 | ins No recent insider activity | an 1.78 | earn 2026-09-04 31 | mc 302.0 | TV STRONG_BUY 16/10/0
PANW Palo Alto Networks, Inc. | Technology | sc 90.9 STRONG BUY | px 366.34 entry 366.34 stop 337.03 tgt 439.61 rr 2.5 | 52w 141.67 366.34 ma50 309.55 ma200 215.81 | vcp No clear VCP | rs RS New High 🔥 | vol 1.21 | sq NONE 2.5 | ins No recent insider activity | an 1.6 | earn 2026-09-02 29 | mc 298.6 | TV STRONG_BUY 15/10/1
FTNT Fortinet, Inc. | Technology | sc 89.4 STRONG BUY | px 168.29 entry 168.29 stop 154.83 tgt 201.95 rr 2.5 | 52w 74.39 168.29 ma50 151.11 ma200 101.37 | vcp No clear VCP | rs RS New High 🔥 | vol 1.06 | sq NONE 2.4 | ins No recent insider activity | an 2.68 | earn — None | mc 123.5 | TV STRONG_BUY 16/10/0
NVDA NVIDIA Corporation | Technology | sc 75.7 STRONG BUY | px 211.94 entry 211.94 stop 194.98 tgt 254.33 rr 2.5 | 52w 164.98 235.47 ma50 205.65 ma200 193.22 | vcp No clear VCP | rs RS -13% from high | vol 0.95 | sq NONE 1.4 | ins No recent insider activity | an 1.3 | earn 2026-08-27 23 | mc 5133.4 | TV STRONG_BUY 16/10/0
GOOGL Alphabet Inc. | Communication Services | sc 85.3 STRONG BUY | px 377.65 entry 377.65 stop 347.44 tgt 453.18 rr 2.5 | 52w 194.12 402.38 ma50 358.18 ma200 327.25 | vcp No clear VCP | rs RS -10% from high | vol 1.09 | sq NONE 1.3 | ins No recent insider activity | an 1.39 | earn 2026-10-29 86 | mc 4618.6 | TV STRONG_BUY 17/9/0
GE GE Aerospace | Industrials | sc 91.0 STRONG BUY | px 377.32 entry 377.32 stop 347.13 tgt 452.78 rr 2.5 | 52w 264.59 378.68 ma50 347.81 ma200 315.17 | vcp VCP ✓ (5 contractions, tightest 3.6%) | rs RS -3% from high | vol 0.72 | sq NONE 1.4 | ins No recent insider activity | an 1.45 | earn 2026-10-20 77 | mc 391.5 | TV STRONG_BUY 17/9/0
